run_a,run_b,correct_set_jaccard,top1_agreement,mean_ranking_spearman,probe_embedding_linear_cka
matrix_efficientnetv2b3_paper_random_hardening_v2_train4_split1_aug1,matrix_efficientnetv2b3_transform_holdout_hardening_v2_train1_split1_aug1,0.9902912621359224,0.9820359281437124,0.9981603160383395,0.99849884991227
matrix_efficientnetv2b3_paper_random_hardening_v2_train4_split1_aug1,matrix_efficientnetv2b3_transform_holdout_hardening_v2_train2_split1_aug1,0.9902912621359224,0.9820359281437124,0.9981338293604016,0.9984102841190226
matrix_efficientnetv2b3_paper_random_hardening_v2_train4_split1_aug1,matrix_efficientnetv2b3_transform_holdout_hardening_v2_train3_split1_aug1,0.9902912621359224,0.9820359281437124,0.9980381615845924,0.9983402377889744
matrix_efficientnetv2b3_paper_random_hardening_v2_train4_split1_aug1,matrix_efficientnetv2b3_transform_holdout_hardening_v2_train4_split1_aug1,0.9902912621359224,0.9820359281437124,0.9980433185934092,0.9983945449039008
matrix_efficientnetv2b3_paper_random_hardening_v2_train4_split1_aug1,matrix_efficientnetv2b3_transform_holdout_hardening_v2_train5_split1_aug1,0.9902912621359224,0.9820359281437124,0.9980803999425222,0.9983320084281252
matrix_efficientnetv2b3_paper_random_hardening_v2_train5_split1_aug1,matrix_efficientnetv2b3_transform_holdout_hardening_v2_train1_split1_aug1,0.9901960784313726,0.9880239520958084,0.9981882761473678,0.9987327179758516
matrix_efficientnetv2b3_paper_random_hardening_v2_train5_split1_aug1,matrix_efficientnetv2b3_transform_holdout_hardening_v2_train2_split1_aug1,0.9901960784313726,0.9880239520958084,0.998179295234054,0.9986661906879204
matrix_efficientnetv2b3_paper_random_hardening_v2_train5_split1_aug1,matrix_efficientnetv2b3_transform_holdout_hardening_v2_train3_split1_aug1,0.9901960784313726,0.9880239520958084,0.9980760848943284,0.9985775890371956
matrix_efficientnetv2b3_paper_random_hardening_v2_train5_split1_aug1,matrix_efficientnetv2b3_transform_holdout_hardening_v2_train4_split1_aug1,0.9901960784313726,0.9880239520958084,0.998064753507608,0.998626562254416
matrix_efficientnetv2b3_paper_random_hardening_v2_train5_split1_aug1,matrix_efficientnetv2b3_transform_holdout_hardening_v2_train5_split1_aug1,0.9901960784313726,0.9880239520958084,0.9981093072572516,0.9985886343258298
matrix_efficientnetv2b3_transform_holdout_hardening_v2_train1_split1_aug1,matrix_efficientnetv2b3_transform_holdout_hardening_v2_train2_split1_aug1,1.0,1.0,0.999854060158648,0.999974542970732
matrix_efficientnetv2b3_transform_holdout_hardening_v2_train1_split1_aug1,matrix_efficientnetv2b3_transform_holdout_hardening_v2_train3_split1_aug1,1.0,1.0,0.9998664089144546,0.999979027316354
matrix_efficientnetv2b3_transform_holdout_hardening_v2_train1_split1_aug1,matrix_efficientnetv2b3_transform_holdout_hardening_v2_train4_split1_aug1,1.0,1.0,0.999872372802202,0.9999814476780192
matrix_efficientnetv2b3_transform_holdout_hardening_v2_train1_split1_aug1,matrix_efficientnetv2b3_transform_holdout_hardening_v2_train5_split1_aug1,1.0,1.0,0.9998388347040454,0.9999725491054824
matrix_efficientnetv2b3_transform_holdout_hardening_v2_train2_split1_aug1,matrix_efficientnetv2b3_transform_holdout_hardening_v2_train3_split1_aug1,1.0,1.0,0.9998531129529468,0.9999750912581884
matrix_efficientnetv2b3_transform_holdout_hardening_v2_train2_split1_aug1,matrix_efficientnetv2b3_transform_holdout_hardening_v2_train4_split1_aug1,1.0,1.0,0.99983943109282,0.99996890327006
matrix_efficientnetv2b3_transform_holdout_hardening_v2_train2_split1_aug1,matrix_efficientnetv2b3_transform_holdout_hardening_v2_train5_split1_aug1,1.0,1.0,0.999840974687296,0.9999729084083072
matrix_efficientnetv2b3_transform_holdout_hardening_v2_train3_split1_aug1,matrix_efficientnetv2b3_transform_holdout_hardening_v2_train4_split1_aug1,1.0,1.0,0.9998670754666146,0.999980028822981
matrix_efficientnetv2b3_transform_holdout_hardening_v2_train3_split1_aug1,matrix_efficientnetv2b3_transform_holdout_hardening_v2_train5_split1_aug1,1.0,1.0,0.9998275383990176,0.9999760798177848
matrix_efficientnetv2b3_transform_holdout_hardening_v2_train4_split1_aug1,matrix_efficientnetv2b3_transform_holdout_hardening_v2_train5_split1_aug1,1.0,1.0,0.9998463772679612,0.9999717256543716
