protocol,run_id,samples,score_space,minimum_heatmap_nonzero_fraction,deletion_gradcam_auc_mean,deletion_gradcam_auc_sample_std,deletion_random_auc_mean,deletion_random_auc_sample_std,insertion_gradcam_auc_mean,insertion_gradcam_auc_sample_std,insertion_random_auc_mean,insertion_random_auc_sample_std,deletion_gradcam_minus_random,insertion_gradcam_minus_random
paper_random_hardening_v2,matrix_efficientnetv2b3_paper_random_hardening_v2_train1_split1_aug1,6,pre_softmax_logit,0.5,0.5650577697349946,0.2673246918839465,0.11847617089083536,0.04272932863241234,0.8033319596623186,0.09592483685477779,0.12347388762762714,0.03218022376790116,0.4465815988441591,0.6798580720346914
transform_holdout_hardening_v2,matrix_efficientnetv2b3_transform_holdout_hardening_v2_train1_split1_aug1,6,pre_softmax_logit,0.7777777777777778,0.4566368988131823,0.07944429926516346,0.18930384700869732,0.1184187219135333,0.8171839144308857,0.07025627042293102,0.1962702461747691,0.1159145983160187,0.26733305180448497,0.6209136682561166
