reference_run,candidate_run,metric,delta,ci_low,ci_high,bootstrap_unit,bootstrap_resamples
imagenet_only_efficientnetv2b3_hardening_v2,matrix_efficientnetv2b3_paper_random_hardening_v2_train5_split1_aug1,cmc_rank_1,-0.0059880239520958,-0.0192307692307692,0.0,animal_id,2000
imagenet_only_efficientnetv2b3_hardening_v2,matrix_efficientnetv2b3_paper_random_hardening_v2_train5_split1_aug1,cmc_rank_5,0.0,-0.0239520958083832,0.0218579234972677,animal_id,2000
imagenet_only_efficientnetv2b3_hardening_v2,matrix_efficientnetv2b3_paper_random_hardening_v2_train5_split1_aug1,mean_average_precision,-0.0050083208304508,-0.0098346944015376,-0.000341755024357,animal_id,2000
imagenet_only_efficientnetv2b3_hardening_v2,matrix_efficientnetv2b3_transform_holdout_hardening_v2_train1_split1_aug1,cmc_rank_1,0.0,0.0,0.0,animal_id,2000
imagenet_only_efficientnetv2b3_hardening_v2,matrix_efficientnetv2b3_transform_holdout_hardening_v2_train1_split1_aug1,cmc_rank_5,-0.0059880239520958,-0.01875,0.0,animal_id,2000
imagenet_only_efficientnetv2b3_hardening_v2,matrix_efficientnetv2b3_transform_holdout_hardening_v2_train1_split1_aug1,mean_average_precision,-0.0013524039788739,-0.0040974780659288,0.0010738972244327,animal_id,2000
imagenet_only_efficientnetv2b3_hardening_v2,matrix_efficientnetv2b3_transform_holdout_hardening_v2_train2_split1_aug1,cmc_rank_1,0.0,0.0,0.0,animal_id,2000
imagenet_only_efficientnetv2b3_hardening_v2,matrix_efficientnetv2b3_transform_holdout_hardening_v2_train2_split1_aug1,cmc_rank_5,-0.0059880239520958,-0.01875,0.0,animal_id,2000
imagenet_only_efficientnetv2b3_hardening_v2,matrix_efficientnetv2b3_transform_holdout_hardening_v2_train2_split1_aug1,mean_average_precision,-0.0010629641482309,-0.003926700627048,0.001419675144785,animal_id,2000
imagenet_only_efficientnetv2b3_hardening_v2,matrix_efficientnetv2b3_transform_holdout_hardening_v2_train3_split1_aug1,cmc_rank_1,0.0,0.0,0.0,animal_id,2000
imagenet_only_efficientnetv2b3_hardening_v2,matrix_efficientnetv2b3_transform_holdout_hardening_v2_train3_split1_aug1,cmc_rank_5,-0.0059880239520958,-0.01875,0.0,animal_id,2000
imagenet_only_efficientnetv2b3_hardening_v2,matrix_efficientnetv2b3_transform_holdout_hardening_v2_train3_split1_aug1,mean_average_precision,-0.0013631980320345,-0.00377039978112,0.0008536728135981,animal_id,2000
imagenet_only_efficientnetv2b3_hardening_v2,matrix_efficientnetv2b3_transform_holdout_hardening_v2_train4_split1_aug1,cmc_rank_1,0.0,0.0,0.0,animal_id,2000
imagenet_only_efficientnetv2b3_hardening_v2,matrix_efficientnetv2b3_transform_holdout_hardening_v2_train4_split1_aug1,cmc_rank_5,-0.0059880239520958,-0.01875,0.0,animal_id,2000
imagenet_only_efficientnetv2b3_hardening_v2,matrix_efficientnetv2b3_transform_holdout_hardening_v2_train4_split1_aug1,mean_average_precision,-0.0011698010268364,-0.0040707718621262,0.0012426898252067,animal_id,2000
imagenet_only_efficientnetv2b3_hardening_v2,matrix_efficientnetv2b3_transform_holdout_hardening_v2_train5_split1_aug1,cmc_rank_1,0.0,0.0,0.0,animal_id,2000
imagenet_only_efficientnetv2b3_hardening_v2,matrix_efficientnetv2b3_transform_holdout_hardening_v2_train5_split1_aug1,cmc_rank_5,-0.0059880239520958,-0.01875,0.0,animal_id,2000
imagenet_only_efficientnetv2b3_hardening_v2,matrix_efficientnetv2b3_transform_holdout_hardening_v2_train5_split1_aug1,mean_average_precision,-0.0009081776358001,-0.0035262699977153,0.0013218456491648,animal_id,2000
