run_id,model,source_training_protocol,evaluation_protocol,seed,probe_images,probe_identities,gallery_images,gallery_identities,cmc_rank_1,rank_1_ci_low,rank_1_ci_high,cmc_rank_5,mean_average_precision,map_ci_low,map_ci_high
matrix_convnexttiny_ablation_224_seed1__holstein2025_zero_shot_reid,convnexttiny,ablation_224,holstein2025_zero_shot_reid,1,167,20,127,20,0.4431137724550898,0.3502324016879702,0.5401262906534826,0.7065868263473054,0.27208734839932075,0.22394581966272534,0.32546320159615955
matrix_convnexttiny_ablation_cutout_only_seed1__holstein2025_zero_shot_reid,convnexttiny,ablation_cutout_only,holstein2025_zero_shot_reid,1,167,20,127,20,0.40718562874251496,0.29380440150626586,0.5276159356780855,0.6766467065868264,0.27080246352001186,0.20877665752120164,0.33451195580729526
matrix_convnexttiny_ablation_frozen_seed1__holstein2025_zero_shot_reid,convnexttiny,ablation_frozen,holstein2025_zero_shot_reid,1,167,20,127,20,0.41317365269461076,0.30535117610083706,0.5232616669267989,0.6766467065868264,0.2701172789560816,0.20797996136187225,0.33434595385915367
matrix_convnexttiny_ablation_geometric_only_seed1__holstein2025_zero_shot_reid,convnexttiny,ablation_geometric_only,holstein2025_zero_shot_reid,1,167,20,127,20,0.38922155688622756,0.2727138246369016,0.5061747685185185,0.688622754491018,0.28031353840168927,0.2155078462541395,0.3475860516846661
matrix_convnexttiny_ablation_no_cutout_seed1__holstein2025_zero_shot_reid,convnexttiny,ablation_no_cutout,holstein2025_zero_shot_reid,1,167,20,127,20,0.40718562874251496,0.2999850299401198,0.5214723926380368,0.7065868263473054,0.28183812745401243,0.22028586225744853,0.3473187782021835
matrix_convnexttiny_paper_random_seed1__holstein2025_zero_shot_reid,convnexttiny,paper_random,holstein2025_zero_shot_reid,1,167,20,127,20,0.40119760479041916,0.2916597682119206,0.5128246753246752,0.6766467065868264,0.2755479745210434,0.2137946660969772,0.3389474015319293
matrix_convnexttiny_transform_holdout_seed1__holstein2025_zero_shot_reid,convnexttiny,transform_holdout,holstein2025_zero_shot_reid,1,167,20,127,20,0.39520958083832336,0.2866232328724561,0.5090965556182947,0.6826347305389222,0.2731908633674383,0.21072339945599758,0.3363182563659887
matrix_efficientnetb0_ablation_224_seed1__holstein2025_zero_shot_reid,efficientnetb0,ablation_224,holstein2025_zero_shot_reid,1,167,20,127,20,0.6047904191616766,0.47589626799882456,0.7266962025316455,0.8383233532934131,0.35977348475825305,0.3075657000620224,0.4115440378981763
matrix_efficientnetb0_ablation_cutout_only_seed1__holstein2025_zero_shot_reid,efficientnetb0,ablation_cutout_only,holstein2025_zero_shot_reid,1,167,20,127,20,0.5449101796407185,0.4184708498023716,0.660377358490566,0.8083832335329342,0.36718165682543824,0.3028615842601986,0.43364393329794493
matrix_efficientnetb0_ablation_frozen_seed1__holstein2025_zero_shot_reid,efficientnetb0,ablation_frozen,holstein2025_zero_shot_reid,1,167,20,127,20,0.5508982035928144,0.41999723756906077,0.6686390532544378,0.8143712574850299,0.36737859540791146,0.3033761563231111,0.43359762409659985
