class_id,count,correct,errors,accuracy,mean_confidence
242,6,4,2,0.6666666666666666,0.8408586116666666
40,6,5,1,0.8333333333333334,0.8805129716666666
0,6,6,0,1.0,0.9993225200000001
1,6,6,0,1.0,0.99696963
10,6,6,0,1.0,0.9980800433333333
100,6,6,0,1.0,0.9997538
101,6,6,0,1.0,0.9990348016666667
102,6,6,0,1.0,0.9991713600000001
103,6,6,0,1.0,0.9993905766666668
104,6,6,0,1.0,0.9992249033333334
105,6,6,0,1.0,0.9996937666666666
106,6,6,0,1.0,0.99944983
107,6,6,0,1.0,0.9907077383333333
108,6,6,0,1.0,0.9956276816666666
109,6,6,0,1.0,0.993936465
11,6,6,0,1.0,0.9979825216666667
110,6,6,0,1.0,0.9869459416666667
111,6,6,0,1.0,0.9974488366666666
112,6,6,0,1.0,0.9926906833333334
113,6,6,0,1.0,0.9974115366666667
114,6,6,0,1.0,0.9995099716666666
115,6,6,0,1.0,0.9959221349999999
116,6,6,0,1.0,0.9992947766666666
117,6,6,0,1.0,0.9912003883333332
118,6,6,0,1.0,0.9995536466666666
