run_id,model,protocol,samples,accuracy,macro_precision,macro_recall,macro_f1,top_5_accuracy,seconds_per_image,parameter_count,model_size_mib
matrix_convnexttiny_ablation_224_seed1,convnexttiny,ablation_224,1866,0.9935691318327974,0.9946026642168121,0.9935691318327974,0.9935594951672124,0.9989281886387996,0.05571536869078219,28059287,494.1481466293335
matrix_efficientnetb0_ablation_224_seed1,efficientnetb0,ablation_224,1866,0.9946409431939979,0.9954065227377124,0.994640943193998,0.9946034672722774,0.9983922829581994,0.04273733235262555,4447962,72.81918144226074
matrix_efficientnetv2b3_ablation_224_seed1,efficientnetv2b3,ablation_224,1866,0.9957127545551983,0.9964400551217272,0.9957127545551981,0.9956596458204174,0.9994640943193998,0.04477306067577701,13408629,127.9733943939209
matrix_convnexttiny_ablation_cutout_only_seed1,convnexttiny,ablation_cutout_only,311,0.9967845659163987,0.9951768488745981,0.9967845659163987,0.9957127545551981,1.0,0.3884221105530554,28059287,494.1482343673706
matrix_efficientnetb0_ablation_cutout_only_seed1,efficientnetb0,ablation_cutout_only,311,0.9935691318327974,0.9919614147909968,0.9935691318327974,0.9924973204715969,1.0,0.4234330386141524,4447962,72.81937217712402
matrix_efficientnetv2b3_ablation_cutout_only_seed1,efficientnetv2b3,ablation_cutout_only,311,1.0,1.0,1.0,1.0,1.0,0.2689291101061089,13408629,127.9738883972168
matrix_convnexttiny_ablation_frozen_seed1,convnexttiny,ablation_frozen,1866,0.9941050375133976,0.9948706170571123,0.9941050375133977,0.9941125326977418,0.9989281886387996,0.06756401468435169,28059287,111.19556999206543
matrix_efficientnetb0_ablation_frozen_seed1,efficientnetb0,ablation_frozen,1866,0.9994640943193998,0.9995406522737713,0.9994640943193999,0.9994603467272278,1.0,0.07186071831243253,4447962,23.86280632019043
matrix_efficientnetv2b3_ablation_frozen_seed1,efficientnetv2b3,ablation_frozen,1866,0.9941050375133976,0.9951194304088196,0.9941050375133977,0.9940295502996468,0.9994640943193998,0.05151671657877978,13408629,59.824421882629395
matrix_convnexttiny_ablation_geometric_only_seed1,convnexttiny,ablation_geometric_only,933,0.992497320471597,0.9943729903536977,0.9924973204715969,0.992282958199357,1.0,0.13324406818756623,28059287,494.1482343673706
